no,osm_id,nama_sekolah,jenjang,alamat,kelurahan,kecamatan,kota,lat,lng
1,450772006,Sd Negeri Kalijudan Ii,SD,Jalan Kalijudan Nomer 132,,Sukolilo (Expanded),Surabaya,-7.2571061,112.779005
2,450507068,Sd Negeri Kalisari I,SD,Jalan Mulyosari Utara X No 2-4,,Sukolilo (Expanded),Surabaya,-7.2612227,112.796486
3,466551713,Sd Negeri Kalisari Ii,SD,Jalan Taman Bhaskara No 1,,Sukolilo (Expanded),Surabaya,-7.2689121,112.7994734
4,463575451,Sd Negeri Kedung Baruk I / 275,SD,jalan kedung baruk nomor 75,,Sukolilo (Expanded),Surabaya,-7.3121226,112.7759586
5,470110534,Sd Negeri Kejawen Putih 1,SD,Jalan Kejawen Putih Tambak Nomer 48A,,Sukolilo (Expanded),Surabaya,-7.2773006,112.802061
6,467117563,Sd Negeri Kendang Sari Iii,SD,Jalan Tenggilis Mejoyo nomor 3,,Sukolilo (Expanded),Surabaya,-7.3187182,112.763671
7,465318724,Sd Negeri Keputih 245,SD,Jalan Arief Rachman Hakim No 1,,Sukolilo (Expanded),Surabaya,-7.289573,112.7848946
8,449316569,Sd Negeri Klampis Ngasem 3,SD,,,Sukolilo (Expanded),Surabaya,-7.2810928,112.7714031
9,449316572,Sd Negeri Klampis Ngasem 5,SD,Jalan Manyar Tirtoyoso Selatan 1 Nomor 1,,Sukolilo (Expanded),Surabaya,-7.2851985,112.7737939
10,449316568,Sd Negeri Manyar Sabrangan 3,SD,Jalan Manyar Tirtoyoso Selatan 1,,Sukolilo (Expanded),Surabaya,-7.2849156,112.7739343
11,448439408,Sd Negeri Manyar Sabrangan Ii/231,SD,"Jalan Manyar Tirtomoyo VIII No.1, Manyar Sabrangan, Mulyorejo, Kota SBY, Jawa Timur 60116, Indonesia",,Sukolilo (Expanded),Surabaya,-7.2845087,112.7680525
12,4478422246,Sd Negeri Medokan Semampir 1,SD,Jalan Semampir Gang Kelurahan No.124,,Sukolilo (Expanded),Surabaya,-7.3049728,112.7822079
13,449826523,Sd Negeri Menur Pumpungan,SD,Jalan Menur Pumpungan No.28,,Sukolilo (Expanded),Surabaya,-7.2885451,112.7659991
14,449826522,Sd Negeri Menur Pumpungan 4,SD,Jalan Nginden Semolo 23,,Sukolilo (Expanded),Surabaya,-7.2993116,112.7648496
15,449826526,Sd Negeri Menur Pumpungan V,SD,Jalan Manyar Rejo III,,Sukolilo (Expanded),Surabaya,-7.2971207,112.7644104
16,469351126,Sd Negeri Mojo Vi Nomor 225,SD,Jalan Mojo Klanggru Kidul 145,,Sukolilo (Expanded),Surabaya,-7.269058,112.7705012
17,475565448,Sd Negeri Mojo Viii Nomor 227,SD,Jalan Karang Menjangan III Nomor 8,,Sukolilo (Expanded),Surabaya,-7.2708142,112.7629625
18,474343585,Sd Negeri Nginden Jangkungan 2 No 611,SD,Jalan Nginden Baru 6 No 30,,Sukolilo (Expanded),Surabaya,-7.3023832,112.7694342
19,449149849,Sd Negeri Pacar Kembang Iv,SD,Jalan Kedung Tarukan IV no.1,,Sukolilo (Expanded),Surabaya,-7.263804,112.7635538
20,449151865,Sd Negeri Pacarkembang,SD,Bronggalan no.36,,Sukolilo (Expanded),Surabaya,-7.2562786,112.765432
21,461337000,Sd Negeri Penjaringan I / 271,SD,Jalan Kendal Sari Selatan,,Sukolilo (Expanded),Surabaya,-7.3151706,112.7838036
22,461336998,Sd Negeri Penjaringan Sari Ii,SD,Jalan Pandugo Baru V,,Sukolilo (Expanded),Surabaya,-7.3190313,112.7866784
23,450536490,Sd Negeri Ploso I,SD,Jalan Ploso VI No. 9,,Sukolilo (Expanded),Surabaya,-7.2518029,112.7636384
24,450536492,Sd Negeri Ploso Iii,SD,Jalan Karang Empat no. 60-62,,Sukolilo (Expanded),Surabaya,-7.2514442,112.7709145
25,450536485,Sd Negeri Ploso V,SD,,,Sukolilo (Expanded),Surabaya,-7.251375,112.7741626
26,474304786,Sd Negeri Semolowaru 4/614,SD,Jalan Semolowaru Timur 2 No 1,,Sukolilo (Expanded),Surabaya,-7.3037702,112.7756995
